,State,County,Outbreak Date,HPAI Wildbird Strain,Bird Species,WOAH Classification,Year,Month,Day,FIPS Code,Latitude,Longitude,Flock Type,Flock Size,HPAI Flock Strain,Mammal Species,Temp,Precipitation,Outbreak Occured
39,0,465,0,5,219,3,0.0,0.0,0.0,1049.0,34.4598,-85.8041,23,0.0,2,37,58.7,25.03,0
40,0,551,2022-11-10 00:00:00,0,22,2,2022.0,11.0,10.0,1051.0,32.5966,-86.1492,23,0.0,2,37,58.7,25.03,1
41,0,551,2022-11-10 00:00:00,0,22,2,2022.0,11.0,10.0,1051.0,32.5966,-86.1492,23,0.0,2,37,58.7,25.03,1
42,0,551,2022-11-10 00:00:00,0,22,2,2022.0,11.0,10.0,1051.0,32.5966,-86.1492,23,0.0,2,37,58.7,25.03,1
43,0,551,2022-11-10 00:00:00,0,22,2,2022.0,11.0,10.0,1051.0,32.5966,-86.1492,23,0.0,2,37,58.7,25.03,1
44,0,551,2023-04-13 00:00:00,0,13,2,2023.0,4.0,13.0,1051.0,32.5966,-86.1492,23,0.0,2,37,58.7,25.03,1
45,0,559,0,5,219,3,0.0,0.0,0.0,1053.0,31.1262,-87.1615,23,0.0,2,37,58.7,25.03,0
46,0,563,0,5,219,3,0.0,0.0,0.0,1055.0,34.0453,-86.0348,23,0.0,2,37,58.7,25.03,0
47,0,563,2023-12-12 00:00:00,5,219,3,2023.0,12.0,12.0,0.0,0.0,0.0,21,80.0,2,37,58.7,25.03,1
48,0,579,0,5,219,3,0.0,0.0,0.0,1057.0,33.7212,-87.7388,23,0.0,2,37,58.7,25.03,0
49,0,602,0,5,219,3,0.0,0.0,0.0,1059.0,34.4417,-87.8437,23,0.0,2,37,58.7,25.03,0
50,0,634,0,5,219,3,0.0,0.0,0.0,1061.0,31.0951,-85.8391,23,0.0,2,37,58.7,25.03,0
51,0,686,0,5,219,3,0.0,0.0,0.0,1063.0,32.8531,-87.9522,23,0.0,2,37,58.7,25.03,0
52,0,709,0,5,219,3,0.0,0.0,0.0,1065.0,32.7627,-87.6291,23,0.0,2,37,58.7,25.03,0
53,0,757,0,5,219,3,0.0,0.0,0.0,1067.0,31.5147,-85.2414,23,0.0,2,37,58.7,25.03,0
54,0,790,0,5,219,3,0.0,0.0,0.0,1069.0,31.1532,-85.3025,23,0.0,2,37,58.7,25.03,0
55,0,834,2022-12-20 00:00:00,3,83,2,2022.0,12.0,20.0,1071.0,34.7795,-85.9994,23,0.0,2,37,58.7,25.03,1
56,0,834,2022-12-20 00:00:00,0,83,2,2022.0,12.0,20.0,1071.0,34.7795,-85.9994,23,0.0,2,37,58.7,25.03,1
57,0,834,2022-12-20 00:00:00,2,121,2,2022.0,12.0,20.0,1071.0,34.7795,-85.9994,23,0.0,2,37,58.7,25.03,1
58,0,834,2022-12-22 00:00:00,3,43,2,2022.0,12.0,22.0,1071.0,34.7795,-85.9994,23,0.0,2,37,58.7,25.03,1
59,0,834,2023-01-12 00:00:00,0,83,2,2023.0,1.0,12.0,1071.0,34.7795,-85.9994,23,0.0,2,37,58.7,25.03,1
60,0,834,2023-02-06 00:00:00,0,43,2,2023.0,2.0,6.0,1071.0,34.7795,-85.9994,23,0.0,2,37,58.7,25.03,1
61,0,834,2023-02-28 00:00:00,3,83,2,2023.0,2.0,28.0,1071.0,34.7795,-85.9994,23,0.0,2,37,58.7,25.03,1
62,0,834,2024-02-16 00:00:00,3,116,2,2024.0,2.0,16.0,1071.0,34.7795,-85.9994,23,0.0,2,37,58.7,25.03,1
63,0,834,2024-08-29 00:00:00,0,102,2,2024.0,8.0,29.0,1071.0,34.7795,-85.9994,23,0.0,2,37,58.7,25.03,1
64,0,834,2024-08-29 00:00:00,3,43,2,2024.0,8.0,29.0,1071.0,34.7795,-85.9994,23,0.0,2,37,58.7,25.03,1
65,0,834,2024-09-18 00:00:00,0,43,2,2024.0,9.0,18.0,1071.0,34.7795,-85.9994,23,0.0,2,37,58.7,25.03,1
66,0,839,2024-08-29 00:00:00,3,183,2,2024.0,8.0,29.0,1073.0,33.5543,-86.8964,23,0.0,2,37,58.7,25.03,1
67,0,937,2022-12-08 00:00:00,0,22,2,2022.0,12.0,8.0,1075.0,33.7791,-88.097,23,0.0,2,37,58.7,25.03,1
68,0,937,2022-12-08 00:00:00,0,22,2,2022.0,12.0,8.0,1075.0,33.7791,-88.097,23,0.0,2,37,58.7,25.03,1
69,0,955,2022-12-20 00:00:00,0,13,2,2022.0,12.0,20.0,1077.0,34.9014,-87.654,23,0.0,2,37,58.7,25.03,1
70,0,959,0,5,219,3,0.0,0.0,0.0,1079.0,34.5217,-87.311,23,0.0,2,37,58.7,25.03,0
71,0,959,2022-12-05 00:00:00,5,219,3,2022.0,12.0,5.0,0.0,0.0,0.0,21,460.0,2,37,58.7,25.03,1
72,0,966,2024-02-06 00:00:00,0,13,0,2024.0,2.0,6.0,1081.0,32.6011,-85.3555,23,0.0,2,37,58.7,25.03,1
73,0,983,2022-02-23 00:00:00,0,8,2,2022.0,2.0,23.0,1083.0,34.8101,-86.9814,23,0.0,2,37,58.7,25.03,1
74,0,983,2023-01-04 00:00:00,3,8,2,2023.0,1.0,4.0,1083.0,34.8101,-86.9814,23,0.0,2,37,58.7,25.03,1
75,0,983,2023-01-04 00:00:00,0,8,2,2023.0,1.0,4.0,1083.0,34.8101,-86.9814,23,0.0,2,37,58.7,25.03,1
76,0,983,2023-01-04 00:00:00,3,83,2,2023.0,1.0,4.0,1083.0,34.8101,-86.9814,23,0.0,2,37,58.7,25.03,1
77,0,983,2023-01-04 00:00:00,0,83,2,2023.0,1.0,4.0,1083.0,34.8101,-86.9814,23,0.0,2,37,58.7,25.03,1
78,0,983,2023-01-04 00:00:00,0,102,2,2023.0,1.0,4.0,1083.0,34.8101,-86.9814,23,0.0,2,37,58.7,25.03,1
79,0,983,2023-01-04 00:00:00,0,83,2,2023.0,1.0,4.0,1083.0,34.8101,-86.9814,23,0.0,2,37,58.7,25.03,1
80,0,983,2023-01-04 00:00:00,0,83,2,2023.0,1.0,4.0,1083.0,34.8101,-86.9814,23,0.0,2,37,58.7,25.03,1
81,0,983,2023-01-04 00:00:00,3,83,2,2023.0,1.0,4.0,1083.0,34.8101,-86.9814,23,0.0,2,37,58.7,25.03,1
82,0,983,2023-01-04 00:00:00,0,102,2,2023.0,1.0,4.0,1083.0,34.8101,-86.9814,23,0.0,2,37,58.7,25.03,1
83,0,983,2023-05-02 00:00:00,3,83,2,2023.0,5.0,2.0,1083.0,34.8101,-86.9814,23,0.0,2,37,58.7,25.03,1
84,0,983,2024-09-05 00:00:00,3,22,2,2024.0,9.0,5.0,1083.0,34.8101,-86.9814,23,0.0,2,37,58.7,25.03,1
85,0,983,2024-09-05 00:00:00,3,22,2,2024.0,9.0,5.0,1083.0,34.8101,-86.9814,23,0.0,2,37,58.7,25.03,1
86,0,983,2025-01-16 00:00:00,0,83,2,2025.0,1.0,16.0,1083.0,34.8101,-86.9814,23,0.0,2,37,58.7,25.03,1
