FullGeoName,FIPS Codes,County Name,State,Outbreak Date,Flock Type,Flock Size,State Count,Outbreaks,Counties
"OH, Auglaize",39011,Auglaize,Ohio,2/5/2025,Commercial Turkey Meat Bird,11000,0,1,1
"MD, Worcester",24047,Worcester,Maryland,2/4/2025,Commercial Broiler Production,201600,0,1,1
"NY, Bronx",36005,Bronx,New York,2/4/2025,Live Bird Market,250,0,1,1
"MI, Alpena",26007,Alpena,Michigan,2/4/2025,WOAH Non-Poultry,8,0,1,1
"KS, Harvey",20079,Harvey,Kansas,2/4/2025,WOAH Non-Poultry,50,0,1,1
"MO, Barry",29009,Barry,Missouri,1/31/2025,Commercial Turkey Meat Bird,34000,0,1,1
"MO, Mcdonald",29119,Mcdonald,Missouri,1/31/2025,Commercial Broiler Production; Commercial Turkey Meat Bird; Commercial Broiler Breeder; Primary Broiler Breeder Pedigree Farm,162050,0,4,1
"MD, Montgomery",24031,Montgomery,Maryland,1/31/2025,WOAH Non-Poultry,10,0,1,1
"OH, Van Wert",39161,Van Wert,Ohio,1/30/2025,Commercial Turkey Meat Bird,21400,0,1,1
"NE, Nance",31125,Nance,Nebraska,1/30/2025,WOAH Non-Poultry,70,0,1,1
"CA, San Mateo",6081,San Mateo,California,1/29/2025,WOAH Non-Poultry,4,0,1,1
"MO, Newton",29145,Newton,Missouri,1/29/2025,Commercial Turkey Meat Bird; Commercial Table Egg Layer,3987900,0,7,1
"IN, Jackson",18071,Jackson,Indiana,1/28/2025,Commercial Table Egg Layer,2633900,0,1,1
"IN, Shelby",18145,Shelby,Indiana,1/28/2025,WOAH Non-Poultry,60,0,1,1
"NC, Sampson",37163,Sampson,North Carolina,1/28/2025,Commercial Turkey Breeder Hens; Commercial Turkey Breeder Replacement Hens,26000,0,2,1
"NE, Kearney",31099,Kearney,Nebraska,1/27/2025,WOAH Non-Poultry,90,0,1,1
"IN, Adams",18001,Adams,Indiana,1/27/2025,Commercial Turkey Meat Bird,19900,0,1,1
"FL, De Soto",12027,De Soto,Florida,1/26/2024,WOAH Non-Poultry,660,0,1,1
"MA, Plymouth",25023,Plymouth,Massachusetts,1/24/2025,WOAH Non-Poultry,30,0,1,1
"AR, Cleveland",5025,Cleveland,Arkansas,1/24/2025,Commercial Broiler Breeder; Commercial Broiler Production,126400,0,2,1
"VT, Windsor",50027,Windsor,Vermont,1/24/2025,WOAH Non-Poultry,20,0,1,1
"RI, Washington",44009,Washington,Rhode Island,1/24/2025,WOAH Non-Poultry,50,0,1,1
"CA, Yolo",6113,Yolo,California,1/23/2025,WOAH Non-Poultry,6,0,1,1
"NH, Belknap",33001,Belknap,New Hampshire,1/23/2023,WOAH Non-Poultry,40,0,1,1
"MD, Dorchester",24019,Dorchester,Maryland,1/22/2025,Commercial Broiler Production,143900,0,1,1
"IL, Cook",17031,Cook,Illinois,1/22/2025,WOAH Poultry,500,0,1,1
"SC, Orangeburg",45075,Orangeburg,South Carolina,1/22/2024,WOAH Non-Poultry,40,0,1,1
"VA, Accomack",51001,Accomack,Virginia,1/21/2025,Commercial Broiler Production,441000,0,1,1
"GA, Elbert",13105,Elbert,Georgia,1/21/2025,Commercial Broiler Production; Commercial Broiler Breeder,175900,0,2,1
"OH, Licking",39089,Licking,Ohio,1/18/2023,WOAH Non-Poultry,30,0,1,1
"TX, Lampasas",48281,Lampasas,Texas,1/18/2023,WOAH Poultry,70,0,1,1
"IN, Jay",18075,Jay,Indiana,1/17/2025,Commercial Turkey Meat Bird; Commercial Table Egg Layer,392400,0,3,1
"SC, Horry",45051,Horry,South Carolina,1/17/2024,WOAH Non-Poultry,190,0,1,1
"MI, Wayne",26163,Wayne,Michigan,1/16/2025,WOAH Non-Poultry,120,0,1,1
"TN, Greene",47059,Greene,Tennessee,1/16/2025,WOAH Non-Poultry,30,0,1,1
"MA, Barnstable",25001,Barnstable,Massachusetts,1/16/2024,WOAH Non-Poultry,150,0,1,1
"PR, Culebra",72049,Culebra,Puerto Rico,1/13/2025,WOAH Poultry,380,1,1,1
"CA, Tehama",6103,Tehama,California,1/12/2023,WOAH Poultry,23700,0,1,1
"MN, Sherburne",27141,Sherburne,Minnesota,1/10/2024,WOAH Non-Poultry,10,0,1,1
"TX, Burnet",48053,Burnet,Texas,1/9/2025,WOAH Non-Poultry,10,0,1,1
"TX, Brazoria",48039,Brazoria,Texas,1/9/2025,WOAH Non-Poultry,90,0,1,1
"GA, Clayton",13063,Clayton,Georgia,1/9/2025,WOAH Non-Poultry,10,0,1,1
"MO, Perry",29157,Perry,Missouri,1/8/2025,WOAH Non-Poultry,20,0,1,1
"IA, Clinton",19045,Clinton,Iowa,1/7/2025,WOAH Non-Poultry,40,0,1,1
"FL, Palm Beach",12099,Palm Beach,Florida,1/7/2025,WOAH Non-Poultry,4,0,1,1
"NC, Hyde",37095,Hyde,North Carolina,1/7/2025,Commercial Table Egg Layer,3314900,0,1,1
"WI, Washburn",55129,Washburn,Wisconsin,1/5/2024,Commercial Turkey Meat Bird,41000,0,1,1
"MO, Johnson",29101,Johnson,Missouri,1/4/2023,WOAH Non-Poultry,30,0,1,1
"OR, Josephine",41033,Josephine,Oregon,1/4/2023,WOAH Non-Poultry,30,0,1,1
"WV, Pocahontas",54075,Pocahontas,West Virginia,1/3/2025,WOAH Poultry,9,0,1,1
"AR, Sharp",5135,Sharp,Arkansas,1/3/2025,WOAH Non-Poultry,20,0,1,1
