FullGeoName,FIPS Codes,County Name,State,Outbreak Date,Flock Type,Flock Size,State Count,Outbreaks,Counties
"SD, Beadle",46005,Beadle,South Dakota,12/10/2024,Commercial Turkey Meat Bird,789000,0,15,1
"ID, Jefferson",16051,Jefferson,Idaho,12/10/2024,WOAH Non-Poultry,60,0,1,1
"KS, Jewell",20089,Jewell,Kansas,12/10/2024,WOAH Non-Poultry,40,0,1,1
"ID, Franklin",16041,Franklin,Idaho,12/10/2024,WOAH Non-Poultry,40,0,1,1
"CO, La Plata",8067,La Plata,Colorado,12/10/2024,WOAH Non-Poultry; WOAH Poultry,120,0,4,1
"MO, Cedar",29039,Cedar,Missouri,12/10/2024,WOAH Non-Poultry,20,0,1,1
"MO, Daviess",29061,Daviess,Missouri,12/10/2024,WOAH Poultry,19900,0,1,1
"SD, Hutchinson",46067,Hutchinson,South Dakota,12/9/2024,Commercial Turkey Meat Bird,209400,0,5,1
"CA, Kern",6029,Kern,California,12/9/2024,WOAH Poultry; Commercial Table Egg Layer,3222900,0,3,1
"AR, Lafayette",5073,Lafayette,Arkansas,12/9/2024,WOAH Non-Poultry,40,0,1,1
"MO, Osage",29151,Osage,Missouri,12/9/2022,Commercial Turkey Meat Bird,19700,0,1,1
"NC, Onslow",37133,Onslow,North Carolina,12/9/2022,WOAH Non-Poultry,60,1,1,1
"CO, Prowers",8099,Prowers,Colorado,12/9/2022,Commercial Upland Gamebird Producer,11000,0,1,1
"OR, Clackamas",41005,Clackamas,Oregon,12/9/2022,WOAH Non-Poultry; Commercial Table Egg Layer,150070,0,3,1
"IA, Mills",19129,Mills,Iowa,12/8/2023,WOAH Non-Poultry,10,0,1,1
"SD, Hamlin",46057,Hamlin,South Dakota,12/8/2022,Commercial Turkey Meat Bird; WOAH Non-Poultry,164340,0,5,1
"MN, Dodge",27039,Dodge,Minnesota,12/8/2022,Commercial Turkey Meat Bird; Commercial Breeder Operation,44100,0,3,1
"MI, Montmorency",26119,Montmorency,Michigan,12/7/2023,WOAH Poultry,100,0,1,1
"AR, Carroll",5015,Carroll,Arkansas,12/7/2023,Commercial Turkey Meat Bird; Commercial Broiler Production,114500,0,2,1
"VT, Orleans",50019,Orleans,Vermont,12/7/2023,WOAH Non-Poultry,40,0,1,1
"NE, Nemaha",31127,Nemaha,Nebraska,12/6/2024,Commercial Turkey Breeder Hens,12400,0,1,1
"WY, Washakie",56043,Washakie,Wyoming,12/6/2024,WOAH Non-Poultry,20,0,1,1
"CO, Pitkin",8097,Pitkin,Colorado,12/6/2024,WOAH Non-Poultry; WOAH Poultry,80,0,2,1
"MN, Becker",27005,Becker,Minnesota,12/6/2023,Commercial Breeder Operation; Commercial Turkey Breeder Hens; Commercial Turkey Breeder Toms; WOAH Non-Poultry; Commercial Turkey Meat Bird,128540,0,7,1
"TX, Denton",48121,Denton,Texas,12/6/2022,WOAH Non-Poultry,40,0,1,1
"OK, Pawnee",40117,Pawnee,Oklahoma,12/6/2022,WOAH Non-Poultry,30,0,1,1
"VT, Lamoille",50015,Lamoille,Vermont,12/6/2022,WOAH Non-Poultry,50,0,1,1
"CO, Larimer",8069,Larimer,Colorado,12/6/2022,WOAH Non-Poultry,112,0,5,1
"MO, Harrison",29081,Harrison,Missouri,12/6/2022,WOAH Non-Poultry,30,0,1,1
"KS, Shawnee",20177,Shawnee,Kansas,12/5/2023,WOAH Non-Poultry; WOAH Poultry,190,0,2,1
"MN, Otter Tail",27111,Otter Tail,Minnesota,12/5/2023,Commercial Turkey Meat Bird; Commercial Breeder Operation; Commercial Turkey Breeder Hens,324500,0,12,1
"SD, Clark",46025,Clark,South Dakota,12/5/2022,Commercial Turkey Meat Bird; WOAH Non-Poultry; Commercial Upland Gamebird Producer,316340,0,11,1
"AL, Lawrence",1079,Lawrence,Alabama,12/5/2022,WOAH Non-Poultry,460,0,1,1
"KS, Pottawatomie",20149,Pottawatomie,Kansas,12/4/2023,WOAH Non-Poultry,30,0,1,1
"SD, Mcpherson",46089,Mcpherson,South Dakota,12/4/2023,Commercial Turkey Meat Bird; Commercial Turkey Breeder Hens,564700,0,11,1
"AR, Johnson",5071,Johnson,Arkansas,12/4/2023,Commercial Broiler Production,109000,0,1,1
"KS, Douglas",20045,Douglas,Kansas,12/3/2024,WOAH Non-Poultry,100,0,1,1
"UT, Utah",49049,Utah,Utah,12/3/2024,WOAH Non-Poultry,367,1,4,1
"CA, Fresno",6019,Fresno,California,12/3/2024,Commercial Broiler Production; Commercial Duck Breeder; Commercial Turkey Meat Bird; WOAH Non-Poultry; Commercial Broiler Breeder,1699900,0,19,1
"ND, Bottineau",38009,Bottineau,North Dakota,12/2/2024,WOAH Poultry,160,0,2,1
"NC, Union",37179,Union,North Carolina,12/2/2022,WOAH Non-Poultry,59,0,2,1
"MI, Bay",26017,Bay,Michigan,12/1/2023,WOAH Non-Poultry,60,0,1,1
"IA, Woodbury",19193,Woodbury,Iowa,12/1/2023,WOAH Non-Poultry,50,0,2,1
"ID, Canyon",16027,Canyon,Idaho,12/1/2023,WOAH Non-Poultry; WOAH Poultry,735,0,18,1
"MO, Jackson",29095,Jackson,Missouri,12/1/2022,WOAH Non-Poultry,70,0,2,1
"SD, Brookings",46011,Brookings,South Dakota,12/1/2022,WOAH Non-Poultry,210,0,1,1
"AR, Arkansas",5001,Arkansas,Arkansas,12/1/2022,WOAH Non-Poultry,20,0,1,1
"MT, Lewis And Clark",30049,Lewis And Clark,Montana,11/30/2023,WOAH Non-Poultry,6,0,1,1
"SD, Minnehaha",46099,Minnehaha,South Dakota,11/30/2023,WOAH Non-Poultry,80,0,1,1
"CA, San Benito",6069,San Benito,California,11/30/2023,Commercial Duck Breeder,5000,0,1,1
"CO, Bent",8011,Bent,Colorado,11/30/2023,WOAH Poultry,4100,0,1,1
"IL, Grundy",17063,Grundy,Illinois,11/30/2022,WOAH Poultry,8800,0,1,1
"TN, Gibson",47053,Gibson,Tennessee,11/29/2024,Commercial Broiler Breeder,37700,0,1,1
"MN, Meeker",27093,Meeker,Minnesota,11/29/2024,Commercial Turkey Meat Bird; Commercial Table Egg Layer,2783600,0,17,1
"ND, Dickey",38021,Dickey,North Dakota,11/29/2023,WOAH Poultry; Commercial Turkey Meat Bird,179660,0,5,1
"MN, Douglas",27041,Douglas,Minnesota,11/29/2023,Commercial Turkey Meat Bird,13500,0,1,1
"CO, Morgan",8087,Morgan,Colorado,11/29/2023,WOAH Non-Poultry,100,0,2,1
"MD, Washington",24043,Washington,Maryland,11/29/2022,Commercial Table Egg Breeder,24600,1,1,1
"NE, Colfax",31037,Colfax,Nebraska,11/28/2023,WOAH Non-Poultry,20,0,1,1
"ND, Emmons",38029,Emmons,North Dakota,11/28/2023,WOAH Non-Poultry,60,0,1,1
"WI, Trempealeau",55121,Trempealeau,Wisconsin,11/28/2023,Commercial Turkey Meat Bird,123500,0,3,1
"SD, Yankton",46135,Yankton,South Dakota,11/28/2023,Commercial Turkey Meat Bird,125100,0,2,1
"UT, Iron",49021,Iron,Utah,11/28/2022,WOAH Poultry,3000,0,1,1
"MO, Webster",29225,Webster,Missouri,11/28/2022,Commercial Turkey Meat Bird; WOAH Poultry,24200,0,2,1
"SD, Faulk",46049,Faulk,South Dakota,11/27/2024,Commercial Turkey Meat Bird,203600,0,4,1
"ND, Ransom",38073,Ransom,North Dakota,11/27/2024,Commercial Turkey Meat Bird,128600,0,2,1
"OR, Union",41061,Union,Oregon,11/27/2024,WOAH Non-Poultry; WOAH Poultry,540,0,4,1
"UT, Sanpete",49039,Sanpete,Utah,11/27/2024,Commercial Turkey Meat Bird,895200,0,21,1
"MN, Brown",27015,Brown,Minnesota,11/27/2023,Commercial Turkey Breeder Hens; WOAH Non-Poultry; Commercial Turkey Meat Bird,100920,0,5,1
"AK, Matanuska-Susitna Borough",2170,Matanuska Susitna,Alaska,11/26/2024,WOAH Non-Poultry; WOAH Poultry,1350,1,10,1
"NC, Durham",37063,Durham,North Carolina,11/25/2022,WOAH Non-Poultry,30,0,1,1
"NE, Dixon",31051,Dixon,Nebraska,11/25/2022,Commercial Table Egg Layer,3446900,0,2,1
"SD, Turner",46125,Turner,South Dakota,11/25/2022,WOAH Non-Poultry,210,0,1,1
"MN, Kandiyohi",27067,Kandiyohi,Minnesota,11/24/2023,Commercial Turkey Breeder Hens; Commercial Breeder Operation; Commercial Turkey Meat Bird; Commercial Turkey Breeder Toms,415000,0,15,1
"MN, Freeborn",27047,Freeborn,Minnesota,11/24/2023,WOAH Non-Poultry,328,0,2,1
"FL, Broward",12011,Broward,Florida,11/23/2022,WOAH Non-Poultry; WOAH Poultry,515,0,7,1
"TN, Davidson",47037,Davidson,Tennessee,11/23/2022,WOAH Non-Poultry,10,0,1,1
"ND, Mchenry",38049,Mchenry,North Dakota,11/22/2024,WOAH Poultry,110,0,2,1
"OK, Roger Mills",40129,Roger Mills,Oklahoma,11/21/2024,WOAH Non-Poultry,0,0,1,1
"UT, Salt Lake",49035,Salt Lake,Utah,11/21/2024,WOAH Non-Poultry,150,0,4,1
"CA, Madera",6039,Madera,California,11/21/2024,WOAH Non-Poultry; Commercial Duck Meat Bird,69500,0,2,1
"UT, Piute",49031,Piute,Utah,11/21/2024,Commercial Turkey Meat Bird,108000,0,3,1
"AZ, Maricopa",4013,Maricopa,Arizona,11/21/2024,WOAH Non-Poultry,490,1,1,1
"GA, Sumter",13261,Sumter,Georgia,11/21/2023,Commercial Raised for Release Waterfowl,30000,1,1,1
"MN, Big Stone",27011,Big Stone,Minnesota,11/21/2023,Commercial Turkey Meat Bird,128000,0,2,1
"MD, Caroline",24011,Caroline,Maryland,11/21/2023,Commercial Broiler Production,529600,0,3,1
"TX, Grimes",48185,Grimes,Texas,11/21/2023,WOAH Non-Poultry,60,0,1,1
"OH, Union",39159,Union,Ohio,11/21/2023,Commercial Table Egg Layer,1348900,0,1,1
"ME, Washington",23029,Washington,Maine,11/21/2022,WOAH Non-Poultry,110,1,2,1
"NM, San Juan",35045,San Juan,New Mexico,11/20/2023,WOAH Non-Poultry,20,1,1,1
"SD, Day",46037,Day,South Dakota,11/20/2023,WOAH Poultry,140,0,2,1
"SD, Walworth",46129,Walworth,South Dakota,11/20/2023,WOAH Non-Poultry,0,0,1,1
"MN, Swift",27151,Swift,Minnesota,11/20/2023,Commercial Turkey Meat Bird; WOAH Non-Poultry,642520,0,9,1
"WI, Taylor",55119,Taylor,Wisconsin,11/20/2023,WOAH Non-Poultry,8,0,1,1
"WA, Whatcom",53073,Whatcom,Washington,11/19/2024,WOAH Non-Poultry,120,0,2,1
"IL, Henry",17073,Henry,Illinois,11/19/2024,WOAH Poultry,5600,0,1,1
"MN, Martin",27091,Martin,Minnesota,11/18/2024,WOAH Non-Poultry,70,0,2,1
"HI, Honolulu",15003,Honolulu,Hawaii,11/18/2024,WOAH Non-Poultry,79,1,2,1
"SD, Fall River",46047,Fall River,South Dakota,11/17/2023,WOAH Non-Poultry,80,0,1,1
"PA, Berks",42011,Berks,Pennsylvania,11/17/2022,WOAH Non-Poultry; Commercial Duck Meat Bird; Commercial Duck Breeder; Commercial Table Egg Layer; Commercial Table Egg Breeder,369740,0,11,1
"IA, Benton",19011,Benton,Iowa,11/16/2023,WOAH Non-Poultry,90,0,1,1
"OR, Marion",41047,Marion,Oregon,11/16/2023,Commercial Broiler Production; WOAH Non-Poultry,123505,0,2,1
"FL, Seminole",12117,Seminole,Florida,11/16/2022,WOAH Poultry; WOAH Non-Poultry,260,0,2,1
"FL, Hillsborough",12057,Hillsborough,Florida,11/16/2022,WOAH Non-Poultry; Live Bird Market,1650,0,6,1
"MI, Cass",26027,Cass,Michigan,11/15/2023,WOAH Non-Poultry,20,0,1,1
"ND, La Moure",38045,Lamoure,North Dakota,11/15/2023,Commercial Turkey Meat Bird; WOAH Non-Poultry,103410,0,4,1
"TN, Bledsoe",47007,Bledsoe,Tennessee,11/15/2022,Commercial Broiler Breeder,20900,0,1,1
"CA, Kings",6031,Kings,California,11/14/2024,Commercial Broiler Production; WOAH Non-Poultry,859808,0,6,1
"TX, Ellis",48139,Ellis,Texas,11/14/2023,WOAH Non-Poultry,50,0,1,1
"IA, Kossuth",19109,Kossuth,Iowa,11/14/2023,WOAH Poultry; WOAH Non-Poultry,21204,0,3,1
"MO, Jasper",29097,Jasper,Missouri,11/14/2023,Commercial Turkey Meat Bird,139000,0,4,1
"IA, Jones",19105,Jones,Iowa,11/14/2023,WOAH Non-Poultry,20,0,1,1
"IA, Taylor",19173,Taylor,Iowa,11/14/2023,Commercial Table Egg Layer,2037000,0,2,1
"IA, Cerro Gordo",19033,Cerro Gordo,Iowa,11/14/2023,WOAH Non-Poultry,80,0,1,1
"MS, Lowndes",28087,Lowndes,Mississippi,11/14/2022,WOAH Non-Poultry,8,0,1,1
"AZ, Pinal",4021,Pinal,Arizona,11/13/2024,Commercial Table Egg Layer; WOAH Non-Poultry,1145800,0,3,1
"OR, Malheur",41045,Malheur,Oregon,11/13/2024,WOAH Non-Poultry,8,0,1,1
"CO, Montrose",8085,Montrose,Colorado,11/13/2023,WOAH Non-Poultry; Commercial Broiler Breeder,58050,0,2,1
"ID, Bonneville",16019,Bonneville,Idaho,11/13/2023,WOAH Non-Poultry,90,0,2,1
"NY, Queens",36081,Queens,New York,11/12/2022,Live Bird Market,2030,0,4,1
"PA, Lehigh",42077,Lehigh,Pennsylvania,11/10/2022,Commercial Turkey Meat Bird; Commercial Turkey Breeder Toms; Commercial Turkey Breeder Hens; WOAH Poultry,134460,0,7,1
"ND, Ward",38101,Ward,North Dakota,11/10/2022,WOAH Poultry,80,0,2,1
"ND, Mountrail",38061,Mountrail,North Dakota,11/10/2022,WOAH Non-Poultry,40,0,1,1
"MI, Lapeer",26087,Lapeer,Michigan,11/10/2022,WOAH Poultry,2080,0,4,1
"MT, Sweet Grass",30097,Sweet Grass,Montana,11/9/2023,WOAH Non-Poultry,3,0,1,1
"MT, Wheatland",30107,Wheatland,Montana,11/9/2023,WOAH Poultry,4500,0,1,1
"MN, Steele",27147,Steele,Minnesota,11/9/2023,Commercial Turkey Meat Bird,46900,0,1,1
"SD, Roberts",46109,Roberts,South Dakota,11/9/2023,Commercial Turkey Meat Bird; Commercial Breeder Operation,54800,0,2,1
"IA, Louisa",19115,Louisa,Iowa,11/8/2022,WOAH Non-Poultry,20,0,1,1
"OH, Butler",39017,Butler,Ohio,11/7/2022,WOAH Poultry,150,0,1,1
"WY, Converse",56009,Converse,Wyoming,11/7/2022,WOAH Non-Poultry,20,0,1,1
"WI, Jefferson",55055,Jefferson,Wisconsin,11/7/2022,Commercial Upland Gamebird Producer; Commercial Table Egg Layer,2938600,0,2,1
"VA, Gloucester",51073,Gloucester,Virginia,11/7/2022,WOAH Non-Poultry,80,1,1,1
"IA, Hamilton",19079,Hamilton,Iowa,11/6/2023,Commercial Breeder (Multiple Bird Species); Commercial Turkey Poult Supplier; Commercial Turkey Meat Bird,48900,0,3,1
"MO, Benton",29015,Benton,Missouri,11/6/2023,Commercial Broiler Breeder,16600,0,1,1
"IA, Clay",19041,Clay,Iowa,11/6/2023,WOAH Poultry,17700,0,3,1
"IA, Wright",19197,Wright,Iowa,11/6/2022,Commercial Table Egg Layer,2122800,0,2,1
"PA, Dauphin",42043,Dauphin,Pennsylvania,11/4/2022,WOAH Non-Poultry; Commercial Table Egg Layer,1983130,0,2,1
"MS, Lawrence",28077,Lawrence,Mississippi,11/4/2022,Commercial Broiler Breeder,34400,0,1,1
"NY, Sullivan",36105,Sullivan,New York,11/4/2022,WOAH Non-Poultry,140,0,1,1
"MN, Wright",27171,Wright,Minnesota,11/3/2023,Commercial Table Egg Layer,940000,0,1,1
"OR, Yamhill",41071,Yamhill,Oregon,11/3/2022,WOAH Poultry,150,0,1,1
"SC, Beaufort",45013,Beaufort,South Carolina,11/3/2022,WOAH Non-Poultry,170,0,1,1
"AZ, Yavapai",4025,Yavapai,Arizona,11/3/2022,WOAH Non-Poultry,80,0,2,1
"CA, San Diego",6073,San Diego,California,11/3/2022,WOAH Poultry,150,0,1,1
"MA, Middlesex",25017,Middlesex,Massachusetts,11/3/2022,WOAH Non-Poultry,20,1,1,1
"WI, Marathon",55073,Marathon,Wisconsin,11/3/2022,WOAH Non-Poultry,30,0,1,1
"OK, Grady",40051,Grady,Oklahoma,11/2/2023,WOAH Non-Poultry,120,0,1,1
"AL, Marshall",1095,Marshall,Alabama,11/2/2023,Commercial Broiler Breeder Pullets,47900,0,1,1
"NJ, Bergen",34003,Bergen,New Jersey,11/2/2022,WOAH Non-Poultry,60,1,1,1
"PA, Allegheny",42003,Allegheny,Pennsylvania,11/2/2022,WOAH Non-Poultry,40,0,2,1
"WI, Waukesha",55133,Waukesha,Wisconsin,11/2/2022,WOAH Non-Poultry,10,0,1,1
"OR, Jackson",41029,Jackson,Oregon,11/1/2024,WOAH Non-Poultry,60,0,1,1
"WA, Stevens",53065,Stevens,Washington,11/1/2024,WOAH Non-Poultry,130,0,1,1
"WA, Okanogan",53047,Okanogan,Washington,11/1/2024,WOAH Non-Poultry,40,0,2,1
"MT, Granite",30039,Granite,Montana,11/1/2022,WOAH Poultry,40,0,1,1
"NY, Wayne",36117,Wayne,New York,11/1/2022,WOAH Non-Poultry,10,0,1,1
"SD, Gregory",46053,Gregory,South Dakota,11/1/2022,Commercial Upland Gamebird Producer; WOAH Non-Poultry,3290,0,3,1
"AR, Madison",5087,Madison,Arkansas,10/31/2023,Commercial Broiler Breeder Pullets,87600,0,2,1
"OK, Wagoner",40145,Wagoner,Oklahoma,10/31/2023,WOAH Non-Poultry,50,0,1,1
"TN, Lincoln",47103,Lincoln,Tennessee,10/31/2023,WOAH Non-Poultry,100,0,1,1
"PA, Venango",42121,Venango,Pennsylvania,10/30/2024,WOAH Non-Poultry,20,0,1,1
"AL, Chilton",1021,Chilton,Alabama,10/27/2023,Commercial Upland Gamebird Producer,306500,0,1,1
"WA, Kittitas",53037,Kittitas,Washington,10/27/2023,WOAH Poultry,70,0,1,1
"MN, Le Sueur",27079,Le Sueur,Minnesota,10/27/2022,Commercial Turkey Meat Bird; WOAH Non-Poultry,77600,0,4,1
"FL, Pasco",12101,Pasco,Florida,10/26/2022,WOAH Non-Poultry,40,0,1,1
"WA, Lewis",53041,Lewis,Washington,10/25/2024,WOAH Non-Poultry,60,0,1,1
"OR, Crook",41013,Crook,Oregon,10/25/2024,WOAH Non-Poultry,180,0,1,1
"MN, Pine",27115,Pine,Minnesota,10/25/2023,WOAH Non-Poultry,30,0,1,1
"FL, Martin",12085,Martin,Florida,10/25/2022,WOAH Non-Poultry,80,0,2,1
"SD, Grant",46051,Grant,South Dakota,10/25/2022,WOAH Non-Poultry,50,0,1,1
"FL, Lake",12069,Lake,Florida,10/25/2022,WOAH Non-Poultry,9,0,1,1
"FL, Indian River",12061,Indian River,Florida,10/25/2022,WOAH Poultry; WOAH Non-Poultry,440,0,4,1
"IA, Pocahontas",19151,Pocahontas,Iowa,10/24/2023,Commercial Turkey Meat Bird,50000,0,1,1
"MN, Blue Earth",27013,Blue Earth,Minnesota,10/24/2023,Commercial Turkey Meat Bird,72500,0,4,1
"IA, Guthrie",19077,Guthrie,Iowa,10/24/2023,WOAH Non-Poultry; Commercial Table Egg Layer,1460050,0,2,1
"NJ, Ocean",34029,Ocean,New Jersey,10/22/2022,WOAH Non-Poultry,90,0,1,1
"VA, Southampton",51175,Southampton,Virginia,10/22/2022,WOAH Non-Poultry,170,0,1,1
"NC, Wake",37183,Wake,North Carolina,10/21/2022,WOAH Non-Poultry,170,0,1,1
"OK, Cleveland",40027,Cleveland,Oklahoma,10/21/2022,WOAH Non-Poultry,30,0,1,1
"MN, Itasca",27061,Itasca,Minnesota,10/21/2022,WOAH Non-Poultry,40,0,1,1
"OK, Creek",40037,Creek,Oklahoma,10/20/2022,WOAH Non-Poultry,50,0,1,1
"CO, Jefferson",8059,Jefferson,Colorado,10/20/2022,WOAH Poultry; WOAH Non-Poultry,60,0,2,1
"FL, Okeechobee",12093,Okeechobee,Florida,10/20/2022,WOAH Non-Poultry,2,0,1,1
"VA, Virginia Beach City",51810,Virginia Beach City,Virginia,10/20/2022,WOAH Non-Poultry,220,0,2,1
"ID, Valley",16085,Valley,Idaho,10/20/2022,WOAH Non-Poultry,20,0,1,1
"IA, Dallas",19049,Dallas,Iowa,10/20/2022,WOAH Non-Poultry,50,0,1,1
"MT, Hill",30041,Hill,Montana,10/20/2022,WOAH Non-Poultry,60,0,1,1
"RI, Newport",44005,Newport,Rhode Island,10/20/2022,WOAH Non-Poultry,60,1,1,1
"MT, Park",30067,Park,Montana,10/19/2023,WOAH Non-Poultry,3,0,1,1
"TX, Rockwall",48397,Rockwall,Texas,10/19/2022,WOAH Non-Poultry,50,0,1,1
"FL, St Lucie",12111,St. Lucie,Florida,10/18/2022,WOAH Non-Poultry,6,0,1,1
"FL, Osceola",12097,Osceola,Florida,10/18/2022,WOAH Non-Poultry,30,0,2,1
"ND, Traill",38097,Traill,North Dakota,10/18/2022,WOAH Non-Poultry,90,0,1,1
"NE, York",31185,York,Nebraska,10/18/2022,Commercial Upland Gamebird Producer,174400,0,2,1
"WA, Kitsap",53035,Kitsap,Washington,10/17/2024,WOAH Non-Poultry,76,0,3,1
"NV, Nye",32023,Nye,Nevada,10/17/2022,WOAH Poultry,1600,1,1,1
"PA, Adams",42001,Adams,Pennsylvania,10/17/2022,Commercial Turkey Meat Bird; WOAH Poultry; WOAH Non-Poultry,17940,0,3,1
"OK, Carter",40019,Carter,Oklahoma,10/16/2023,WOAH Non-Poultry,80,0,1,1
"UT, Cache",49005,Cache,Utah,10/15/2024,Commercial Table Egg Layer; WOAH Non-Poultry,3354440,0,4,1
"OK, Tulsa",40143,Tulsa,Oklahoma,10/14/2022,WOAH Non-Poultry,30,0,1,1
"ND, Golden Valley",38033,Golden Valley,North Dakota,10/13/2023,WOAH Non-Poultry,90,0,1,1
"NJ, Warren",34041,Warren,New Jersey,10/13/2022,WOAH Non-Poultry,6,0,1,1
"WI, St Croix",55109,Saint Croix,Wisconsin,10/13/2022,WOAH Non-Poultry,20,0,1,1
"ND, Williams",38105,Williams,North Dakota,10/12/2023,WOAH Non-Poultry,10,0,1,1
"MI, Genesee",26049,Genesee,Michigan,10/12/2022,WOAH Non-Poultry,20,0,1,1
"WY, Fremont",56013,Fremont,Wyoming,10/12/2022,WOAH Non-Poultry,80,0,2,1
"KY, Logan",21141,Logan,Kentucky,10/11/2022,WOAH Non-Poultry,190,1,1,1
"MT, Glacier",30035,Glacier,Montana,10/10/2023,WOAH Poultry; WOAH Non-Poultry,132400,0,3,1
"FL, Miami-Dade",12086,Miami-dade,Florida,10/7/2024,Live Bird Sales  (non-slaughter); WOAH Poultry; Live Bird Market,8360,0,8,1
"KS, Johnson",20091,Johnson,Kansas,10/7/2022,WOAH Poultry,6,0,1,1
"MN, Pope",27121,Pope,Minnesota,10/7/2022,WOAH Non-Poultry,30,0,1,1
"KS, Neosho",20133,Neosho,Kansas,10/7/2022,WOAH Poultry,2000,0,1,1
"CO, Boulder",8013,Boulder,Colorado,10/7/2022,WOAH Poultry,600,0,1,1
"VA, Hampton City",51650,Hampton City,Virginia,10/6/2022,WOAH Non-Poultry,40,0,1,1
"KY, Fayette",21067,Fayette,Kentucky,10/6/2022,WOAH Poultry,150,0,1,1
"PA, Monroe",42089,Monroe,Pennsylvania,10/5/2022,WOAH Non-Poultry,70,0,2,1
"CT, New Haven",9009,New Haven,Connecticut,10/5/2022,WOAH Non-Poultry,80,1,2,1
"SD, Jerauld",46073,Jerauld,South Dakota,10/4/2023,Commercial Turkey Meat Bird,91300,0,2,1
"NE, Box Butte",31013,Box Butte,Nebraska,10/4/2022,WOAH Non-Poultry,100,0,1,1
"NM, Bernalillo",35001,Bernalillo,New Mexico,10/4/2022,WOAH Non-Poultry,40,0,1,1
"PA, Westmoreland",42129,Westmoreland,Pennsylvania,10/4/2022,WOAH Non-Poultry,160,0,1,1
"CA, Del Norte",6015,Del Norte,California,10/4/2022,WOAH Poultry,43000,0,1,1
"OH, Portage",39133,Portage,Ohio,10/3/2022,WOAH Non-Poultry,50,0,1,1
"MI, Tuscola",26157,Tuscola,Michigan,10/3/2022,WOAH Poultry,140,0,1,1
"CA, Calaveras",6009,Calaveras,California,10/3/2022,WOAH Non-Poultry,20,0,1,1
"OR, Douglas",41019,Douglas,Oregon,9/30/2022,WOAH Non-Poultry,30,0,2,1
"CO, Mesa",8077,Mesa,Colorado,9/29/2022,WOAH Non-Poultry,40,0,1,1
"WI, Dunn",55033,Dunn,Wisconsin,9/29/2022,Commercial Turkey Meat Bird; WOAH Non-Poultry,79650,0,2,1
"PA, Lancaster",42071,Lancaster,Pennsylvania,9/29/2022,WOAH Non-Poultry; Commercial Table Egg Layer; Commercial Duck Meat Bird; Commercial Broiler Breeder Pullets; Commercial Broiler Production; WOAH Poultry; Commercial Duck Breeder; Commercial Turkey Meat Bird,4116090,0,32,1
"PA, York",42133,York,Pennsylvania,9/29/2022,Commercial Turkey Meat Bird,25900,0,1,1
"OR, Tillamook",41057,Tillamook,Oregon,9/28/2022,WOAH Non-Poultry,50,0,2,1
"WI, Racine",55101,Racine,Wisconsin,9/28/2022,Commercial Duck Meat Bird; WOAH Poultry,10220,0,2,1
"ID, Lincoln",16063,Lincoln,Idaho,9/27/2024,WOAH Poultry,700,0,1,1
"MN, Goodhue",27049,Goodhue,Minnesota,9/27/2022,WOAH Non-Poultry,80,0,1,1
"DE, Kent",10001,Kent,Delaware,9/24/2022,WOAH Non-Poultry; Commercial Broiler Production,613440,1,6,1
"TX, Dallas",48113,Dallas,Texas,9/24/2022,WOAH Non-Poultry,60,0,1,1
"NH, Merrimack",33013,Merrimack,New Hampshire,9/23/2022,WOAH Poultry,250,1,1,1
"MD, Anne Arundel",24003,Anne Arundel,Maryland,9/22/2022,WOAH Non-Poultry,4,0,1,1
"ID, Gooding",16047,Gooding,Idaho,9/21/2022,Commercial Upland Gamebird Producer; WOAH Non-Poultry; WOAH Poultry,9100,0,3,1
"MN, Roseau",27135,Roseau,Minnesota,9/21/2022,Commercial Turkey Meat Bird,116000,0,1,1
"PA, Washington",42125,Washington,Pennsylvania,9/20/2022,WOAH Poultry,1800,0,1,1
"NE, Dawes",31045,Dawes,Nebraska,9/19/2022,WOAH Non-Poultry,40,0,1,1
"MI, Macomb",26099,Macomb,Michigan,9/19/2022,WOAH Non-Poultry,150,0,3,1
"FL, Orange",12095,Orange,Florida,9/18/2024,Live Bird Market; WOAH Non-Poultry,3801,0,3,1
"NJ, Union",34039,Union,New Jersey,9/15/2023,Live Bird Market,520,0,1,1
"MA, Bristol",25005,Bristol,Massachusetts,9/15/2022,WOAH Non-Poultry,50,0,1,1
"TN, Obion",47131,Obion,Tennessee,9/15/2022,WOAH Poultry,130,0,1,1
"MT, Teton",30099,Teton,Montana,9/15/2022,WOAH Poultry,2800,0,1,1
"OH, Summit",39153,Summit,Ohio,9/15/2022,WOAH Non-Poultry,6,0,1,1
"OH, Williams",39171,Williams,Ohio,9/14/2022,WOAH Non-Poultry,60,0,1,1
"OH, Allen",39003,Allen,Ohio,9/14/2022,WOAH Non-Poultry,2,0,1,1
"MN, Isanti",27059,Isanti,Minnesota,9/14/2022,WOAH Non-Poultry,4,0,1,1
"MI, Ingham",26065,Ingham,Michigan,9/13/2022,WOAH Poultry,20,0,1,1
"MN, Morrison",27097,Morrison,Minnesota,9/7/2022,Commercial Turkey Meat Bird; WOAH Non-Poultry; Commercial Broiler Production; Commercial Table Egg Layer,779650,0,14,1
"OH, Defiance",39039,Defiance,Ohio,9/3/2022,Commercial Table Egg Layer,3748500,0,1,1
